parent_category,category,category_description,question,explanation,image,order,choice_1,choice_2,choice_3,choice_4,choice_5,correct_answer
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,Janji kemerdekaan yang akan diberikan Jepang setelah kekalahan Jepang pada saat Perang Dunia II diumumkan oleh ....,Janji kemerdekaan Indonesia diumumkan oleh Perdana Menteri Koiso pada 7 September 1944.,,11,Laksamana Maeda,Perdana Menteri Koiso,Ichikawa Taisho,Marsekal Terauchi,Kumakichi Harada,2
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,"Interaksi masyarakat yang berorientasi ke atas, sangat mementingkan hubungan yang formal dan bersifat impersonal. Gambaran tersebut merupakan etos kebudayaan masyarakat ....","Hubungan yang formal, impersonal, dan berorientasi ke atas merupakan ciri etos kebudayaan masyarakat birokrat.",,12,Elite,Birokrat,Petani,Buruh,Tradisional,2
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,"Berdasarkan UUD 1945, setiap pemberian amnesti dan abolisi, pengangkatan dan penerimaan duta, serta pernyataan perang harus disetujui oleh ....","Menurut UUD 1945, tindakan seperti pemberian amnesti dan abolisi, pengangkatan duta, serta pernyataan perang harus mendapat persetujuan DPR.",,13,Menteri pertahanan,Panglima TNI,Panglima Polri,DPR,Menteri Hukum dan HAM,4
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,"Dalam tata aturan perundang-undangan RI, UUD 1945 menempati posisi tertinggi sedangkan peraturan perundang-undangan yang menempati posisi terbawah adalah ....","Dalam hierarki yang digunakan pada sumber soal, urutan terendah adalah Peraturan Daerah setelah UUD, UU/Perpu, PP, dan Perpres.",,14,Perpu,Perda,Perpres,Peraturan Pemerintah,Hukum adat,2
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,Negara menghormati dan memelihara bahasa daerah sebagai kekayaan budaya nasional. Hal ini tercantum dari pasal ....,Ketentuan bahwa negara menghormati dan memelihara bahasa daerah sebagai kekayaan budaya nasional terdapat dalam Pasal 32.,,15,23,24,27,31,32,5
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,"Mewujudkan nasionalisme yang tinggi dari rakyat Indonesia, yang lebih mengutamakan kepentingan nasional daripada kepentingan golongan merupakan ....",Salah satu tujuan wawasan nusantara adalah membentuk nasionalisme tinggi yang mengutamakan kepentingan nasional di atas kepentingan golongan.,,16,Tujuan ketahanan nasional,Pengertian ketahanan nasional,Tujuan pembangunan nasional,Pengertian wawasan nusantara,Tujuan wawasan nusantara,5
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,"Pak Andri mendapatkan tugas dari kantornya untuk mengikuti pelatihan di luar kota selama tiga hari. Di luar dugaan, pelatihan tersebut selesai lebih cepat dari jadwal yang ditentukan yaitu selama dua hari. Jika Anda menjadi Pak Andri, apa yang akan Anda lakukan ....","Tindakan yang tepat adalah segera melaporkan kondisi sebenarnya kepada kantor dan menunggu arahan, karena itu menunjukkan integritas dan profesionalitas.",,17,Menikmati sisa satu hari untuk berjalan-jalan,"Melaporkan ke kantor bahwa kegiatan sudah selesai dalam dua hari, dan menunggu arahan berikutnya",Segera pulang dan memilih berlibur bersama keluarga,Segera pulang dan memilih libur di rumah,Merahasiakan bahwa pelatihan selesai lebih cepat dan memanfaatkan sisa waktu untuk bertemu teman,2
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,"Dalam ketatanegaraan Republik Indonesia, pembentukan sebuah provinsi dapat dilakukan dengan memiliki paling sedikitnya ....",Syarat fisik pembentukan provinsi pada sumber soal mensyaratkan paling sedikit lima kabupaten/kota untuk pembentukan provinsi baru.,,18,5 (lima) kabupaten/kota,7 (tujuh) kabupaten/kota,10 (sepuluh) kabupaten/kota,1/2 kabupaten/kota dari jumlah provinsi di seluruh Indonesia,2/3 kabupaten/kota dari jumlah provinsi di seluruh Indonesia,1
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,Sumber hukum dari keputusan hakim terdahulu yang dijadikan dasar keputusan oleh hakim-hakim lain dalam memutuskan perkara yang sama disebut ....,Keputusan hakim terdahulu yang dijadikan dasar bagi putusan hakim lain pada perkara serupa disebut yurisprudensi.,,19,statute,custom,jurisprudensi,treaty,doktrin,3
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,Undang-Undang No.31 Tahun 2002 tentang Partai Politik menyatakan bahwa partai politik perlu diadakan karena ....,"Partai politik merupakan salah satu wahana partisipasi masyarakat dalam kehidupan demokrasi, sehingga keberadaannya dipandang penting.",,20,Terbukti bahwa dengan adanya partai politik negara menjadi demokrasi,Melalui partai politiklah masyarakat dapat memilih presiden dan wakil presiden,Partai politik merupakan satu-satunya wadah untuk menyalurkan aspirasi,Banyaknya tuntutan masyarakat untuk membentuk partai politik,Merupakan salah satu wujud partisipasi masyarakat dalam mengembangkan demokrasi,5
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,Soekarno menyampaikan pidato mengenai dasar negara pada tanggal ....,"Pada sidang BPUPKI pertama, Ir. Soekarno menyampaikan rumusan lima sila dasar negara pada 1 Juni 1945.",,21,29 Mei 1945,30 Mei 1945,31 Mei 1945,1 Juni 1945,22 Juni 1945,4
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,Tokoh yang bersama Bung Karno dan Muhammad Yamin ikut melakukan pembicaraan terbatas mengenai semboyan Bhinneka Tunggal Ika pada sidang-sidang BPUPKI adalah ....,"Dalam sumber soal, pembicaraan terbatas mengenai semboyan Bhinneka Tunggal Ika melibatkan Muhammad Yamin, Bung Karno, dan I Gusti Bagus Sugriwa.",,22,I Gusti Bagus Sugriwa,Adam Malik,Sultan Hamid II,Ahmad Subarjo,I Made Bagus,1
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,Fenomena generasi muda yang mengalami kepudaran terhadap jiwa nasionalisme disebabkan karena ....,"Pada sumber ini, penyebab yang ditekankan adalah pemahaman nasionalisme yang terlalu sempit, seolah hanya berbentuk perjuangan fisik.",,23,Orientasi nasionalisme adalah sikap dan perbuatan,Labeling yang menjadi stigma bagi generasi muda,Ukuran nasionalisme dipahami hanya sebatas perjuangan secara fisik,Kurangnya daya juang terhadap tantangan perubahan zaman,Kurangnya sosok heroisme bagi kaum muda,3
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,"Arga meminta uang kepada orangtuanya untuk dibelikan sebuah motor, namun karena orangtuanya hanya bekerja serabutan tidak bisa menuruti keinginannya. Karena menerima penolakan akhirnya Arga kesal dan marah bersama temannya pergi ke joks musik dan melihat sebuah motor. Awalnya Arga tidak ingin mencuri, karena keinginan hatinya berubah dia ingin mencuri motor tersebut. Salah seorang warga melihat hal tersebut lalu meneriakinya maling dan melaporkan Arga ke pihak yang berwajib. Sikap warga menunjukkan ....",Warga yang melaporkan Arga kepada pihak berwajib menunjukkan sikap profesional karena tidak main hakim sendiri dan bertindak sesuai aturan.,,24,Integritas,Profesionalisme,Solidaritas,Tenggang rasa,Rela berkorban,2
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,"Perjanjian bilateral dan multilateral memiliki beberapa perbedaan, salah satunya adalah ....",Perbedaan yang paling jelas antara perjanjian bilateral dan multilateral adalah jumlah pihak atau peserta yang menyepakatinya.,,25,Objeknya,Sifat instrumennya,Strukturnya,Cara berlakunya,Jumlah pesertanya,5
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,"Kebijakan pemotongan nilai uang (sanering) yaitu memotong semua uang yang bernilai Rp2,50 ke atas hingga nilai tinggal setengahnya terjadi pada saat Menteri Keuangan dijabat oleh ....",Kebijakan sanering atau Gunting Syafruddin dilakukan saat Menteri Keuangan dijabat oleh Syafruddin Prawiranegara.,,26,Wolopo,Ali Sastroamidjojo,Burhanudin Harahap,Syafruddin Prawiranegara,Sri Sultan Hamengkubuwono IX,4
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,"Dalam ketatanegaraan Republik Indonesia, pembentukan sebuah dugaan kasus penyebaran hoax dan provokasi melalui media sosial dari kelompok The Family Muslim Cyber Army (MCA). Kelima tersangka ditangkap di daerah berbeda, yakni di Tanjung Priok (Jakarta Utara), Pangkal Pinang, Bali, Sumedang, dan Palu. Berdasarkan barang bukti yang diperoleh polisi, kelompok MCA menyebarkan isu provokatif dan kabar bohong terkait isu suku, agama, ras, dan antargolongan (SARA) melalui jaringan komunikasi WhatsApp. Penyimpangan ini merupakan bentuk pelanggaran sila Pancasila ke ....","Kasus provokasi dan penyebaran isu SARA tersebut dinilai melanggar sila ketiga, Persatuan Indonesia, karena berpotensi memecah belah bangsa.",,27,(1),(2),(3),(4),(5),3
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,Isu pemecah belah negara yang dilakukan oleh pihak-pihak tidak bertanggung jawab agar membuat negara menjadi kacau marak terjadi. Sikap kita sebagai warga negara yang baik yaitu ....,Sikap yang tepat adalah waspada dan tidak mudah terpengaruh hoax atau informasi yang belum jelas kebenarannya.,,28,Ikut menyebarkan dan memprovokasi,Tidak mudah terimbas isu hoax atau belum tentu kebenarannya,Berpegang teguh pada kepercayaan masing-masing,Waspada dan ikut curiga,Menindaklanjuti kekacauan yang terjadi,2
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,"Ledakan bom di Poltabes Medan Sumatera Utara pada bulan November lalu, merupakan bentuk penyimpangan dari sila ke ....","Aksi teror yang merendahkan martabat dan keselamatan manusia dipandang sebagai penyimpangan terhadap sila kedua, Kemanusiaan yang Adil dan Beradab.",,29,(1),(2),(3),(4),(5),2
CPNS,TWK 2024,Tes Wawasan Kebangsaan CPNS 2024,"Pengeboman Surabaya 2018 adalah rangkaian peristiwa meledaknya bom di berbagai tempat di Surabaya dan Sidoarjo, Jawa Timur. Peristiwa ini mengakibatkan korban jiwa dan merupakan contoh kasus bentuk penyimpangan terhadap sila ke ....","Sumber penjelasan pada halaman ini menegaskan bahwa kasus tersebut dikaitkan dengan isu agama dan kebebasan beragama, sehingga substansinya diarahkan pada penyimpangan terhadap sila pertama.",,30,(1),(2),(3),(4),(5),1
