parent_category,category,category_description,question,explanation,image,order,choice_1,choice_2,choice_3,choice_4,choice_5,correct_answer
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Menurut saya, cara paling mudah yang dapat dilakukan untuk mendapatkan jaringan kerja baru yang berkompeten adalah ....",Lingkup profesional biasanya memberi akses yang lebih relevan dan kompeten untuk membangun jaringan kerja.,,11,Mencari dari lingkungan pertemanan dekat.,Mencari dari lingkungan keluarga.,Mencari dari lingkup profesional.,Mencari dari kelompok minat yang sama dengan saya.,Mencari dari alumni tempat saya kuliah.,3
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Jika ada rekan kerja yang hendak pulang ketika tanggung jawabnya belum selesai, sikap saya yang paling tepat adalah ....",Profesionalisme menuntut kita menjaga tanggung jawab kerja dan mengingatkan rekan dengan cara yang tepat.,,12,Pulang pada jam yang telah ditentukan.,Mengikuti rekan kerja pulang pada jam yang sama.,Melaporkan kejadian tersebut pada pimpinan.,Mengingatkan rekan kerja tersebut agar bertanggung jawab dan menyelesaikan pekerjaannya dengan baik.,Membiarkan rekan kerja pulang dan menyelesaikan pekerjaannya sendiri.,4
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,Cara efektif yang dapat dilakukan untuk memelihara hubungan kerja dengan relasi dan pelanggan adalah ....,"Hubungan kerja yang baik dibangun melalui komunikasi, diskusi, dan perhatian terhadap kebutuhan pelanggan.",,13,Memberikan mereka banyak hadiah.,Memberikan servis yang sangat baik.,Memberikan diskon pada saat mereka melakukan pembelian.,Menganggap mereka sebagai keluarga dan tidak sekadar pelanggan.,Membina hubungan baik dengan pelanggan melalui komunikasi yang sehat dan berkelanjutan.,5
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Saat pembayaran uang lembur, saya mendapatkan uang lembur yang melebihi jam kerja lembur saya. Saya akan ....","Mengambil sesuatu yang bukan hak kita adalah tindakan yang tidak benar, sehingga harus dikembalikan.",,14,Menanyakannya kepada bendahara.,Mengembalikan kepada bendahara.,Menerimanya dan menganggapnya sebagai bonus.,Meminta pendapat teman apa yang harus dilakukan.,Menerimanya dan pura-pura tidak tahu.,2
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Seseorang menawarkan saya kenaikan jabatan, namun saya harus mempersiapkan sejumlah uang sebagai imbalannya. Saya akan ....",Jabatan yang diperoleh lewat imbalan tidak sejalan dengan integritas dan tidak layak diterima.,,15,Tidak menerima peluang tersebut karena saya tidak memiliki uang.,Meminta bantuan dari saudara.,Mencari pinjaman keuangan.,Mencari uang tambahan dari luar kantor.,Tidak menerimanya dan tetap bekerja seperti biasa.,5
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,Tantangan dalam dunia kerja menurut saya adalah ....,Tantangan justru dapat menjadi pendorong untuk belajar dan berkembang lebih baik.,,16,Sesuatu yang cukup dipikirkan oleh atasan saja.,Sebuah hal biasa.,Hal yang memacu kita untuk berkembang.,Sesuatu yang dapat menghancurkan kita.,Sesuatu yang bisa dihindari dengan bekerja cermat.,3
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Sebagai wedding organizer, saya mendapatkan klien yang meminta pernikahan dengan budaya asal mereka yang sulit dipenuhi karena jauh dari tempat saya tinggal. Saya akan ....",Mencari bantuan profesional yang lebih dekat dengan sumber kebutuhan adalah solusi paling efektif dan menghargai keinginan klien.,,17,Menyarankan mereka memakai baju adat daerah saya saja karena lebih mudah didapatkan.,Menyarankan mereka memakai pakaian nasional saat resepsi.,Memenuhi semua permintaan mereka menggunakan budaya asal mereka.,Memenuhi permintaan itu dengan syarat semua perlengkapan disiapkan oleh mereka.,Menghubungi rekan wedding organizer dari daerah asal mereka untuk membantu saya.,5
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,Dalam rapat RT diusulkan supaya seluruh warga kerja bakti membantu pembangunan gedung pertemuan RT yang sedang dikerjakan kontraktor berpengalaman. Menurut saya ....,"Pekerjaan teknis sebaiknya dilakukan sesuai bidang ahlinya, sehingga peran warga lebih tepat diarahkan pada hal yang relevan.",,18,Memenuhi semua permintaan mereka untuk menggunakan budaya yang sudah dikerjakan oleh ahlinya.,Lebih baik kerja bakti dilakukan untuk kebersihan lingkungan saja.,Membiarkan kontraktor tetap bekerja tanpa keterlibatan warga.,Penting untuk mempererat kebersamaan antarwarga RT.,Penting untuk menumbuhkan rasa memiliki warga RT terhadap fasilitas gedung pertemuan tersebut.,2
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,Menurut saya dalam bersosialisasi dengan tetangga dan di dalam masyarakat umum seharusnya kita ....,Bersosialisasi yang baik membutuhkan sikap aktif dan kontribusi positif dalam lingkungan.,,19,Bersikap aktif dan memberikan peran positif pada mereka.,Apa adanya sesuai kepribadian saya.,Bersikap pasif dan menunggu untuk diajak terlebih dahulu.,Bersosialisasi seperlunya saja.,Menempatkan diri sesuai kondisi lingkungan yang ada.,1
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,Dalam acara bersama disajikan makanan khas daerah yang sebenarnya tidak saya sukai. Yang saya lakukan adalah ....,Menghargai pemberian orang lain adalah cara menjaga hubungan baik dalam interaksi sosial.,,20,Membeli menu makanan sendiri supaya tidak memberatkan panitia.,Memakan menu yang disajikan porsi sedikit saja untuk menghormati.,Menolak dengan jujur karena saya tidak suka.,Meminta panitia menyiapkan menu khusus dengan uang pribadi saya.,Menghargai makanan yang disajikan kepada saya tanpa meragukannya.,5
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,Pertemuan RT di lingkungan saya akan diadakan di rumah orang yang sedang bermasalah dengan saya. Sikap saya ....,"Dalam bersosialisasi, kita perlu menjaga hubungan baik dan tetap hadir secara profesional dalam kegiatan bersama.",,21,Tetap menghadiri pertemuan RT tersebut seperti biasa.,Tetap menghadiri pertemuan dan menggunakan kesempatan itu untuk mengklarifikasi secara terbuka.,Tetap menghadiri pertemuan RT tersebut seperti biasa dan menjaga hubungan tetap baik.,Tidak menghadiri pertemuan RT tersebut.,Hadir sebentar saja dalam pertemuan RT tersebut.,3
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Anda sedang terburu-buru pergi ke kantor karena ada rapat mendadak dengan atasan, tetapi Anda mendapati piring pecah di lantai dapur yang dapat membahayakan orang lain. Tindakan Anda ....",Profesionalisme juga mencakup tanggung jawab terhadap keselamatan orang lain sebelum meninggalkan rumah.,,22,Membiarkannya saja dan tetap buru-buru berangkat.,Menelepon teman untuk menggantikan rapat.,Memenuhi semua permintaan mereka untuk menggunakan budaya tertentu.,Membersihkan pecahan itu lalu berangkat dengan cepat.,Menutup pecahan dengan kain agar tidak tampak.,4
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Saat sedang merayakan ulang tahun, datang kabar bahwa rekan Anda mengalami kecelakaan. Maka Anda akan ....","Dalam pertemanan, membantu sesuai kemampuan secara cepat adalah sikap yang baik dan proporsional.",,23,Membatalkan pesta ulang tahun dan bergegas ke rumah sakit.,Memberinya bantuan semampu Anda.,Mengkoordinasikan rekan-rekan lain untuk turut membantu.,Melaporkan kepada pihak berwajib tentang hal ini.,Memenuhi semua permintaan mereka untuk menggunakan budaya tertentu.,2
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,Di perusahaan Anda baru saja memperbarui salah satu perangkat IT guna mempermudah karyawan menyelesaikan tugasnya. Sikap Anda adalah ....,Sikap paling baik adalah proaktif belajar dan berbagi pengetahuan agar perubahan teknologi langsung mendukung pekerjaan.,,24,Mempelajari perangkat tersebut sendiri di waktu luang.,Mencari informasi mengenai pengoperasian perangkat tersebut bersama rekan-rekan Anda.,Meminta orang lain untuk mengajar Anda dan rekan-rekan cara mengoperasikan perangkat tersebut.,Mencari informasi di internet dan mempelajarinya bersama rekan-rekan Anda.,Mengajak rekan-rekan mencari informasi terkait pengoperasian perangkat tersebut sepulang jam kantor.,4
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,Anda melakukan kesalahan fatal dalam tugas karena kurangnya pemahaman tentang teknologi informasi. Yang Anda lakukan ....,Belajar langsung dari orang yang lebih paham dan membahas masalah secara terbuka adalah respons yang tepat untuk berkembang.,,25,Mencari jalan keluar dari permasalahan yang saya hadapi.,Menunggu pengarahan tentang pentingnya teknologi informasi.,Membahas permasalahan yang saya hadapi dengan rekan kerja saya.,Melapor pada atasan dan mulai mengikuti petunjuknya.,Menyalahkan sistem yang digunakan.,3
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,Kemajuan IT menuntut Anda untuk membuat sistem baru di perusahaan. Sikap Anda ....,"Dari pembahasan sumber, sikap terbaik adalah belajar langsung kepada ahli IT dan aktif ikut mengembangkan sistem yang dibutuhkan.",,26,Menunggu sampai perusahaan mengajari Anda secara resmi.,Belajar langsung kepada ahli IT di perusahaan Anda dan ikut mengembangkan sistem tersebut.,Tidak ikut andil dalam pengembangan teknologi yang ada.,Ikut mengembangkan teknologi tersebut bersama ahli IT dan membantu menggerakkan anggota lain.,Menerima teknologi baru tersebut lalu mengolaborasikannya dengan ide Anda.,2
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,Anda sedang mengerjakan tugas dengan suatu aplikasi. Tiba-tiba di tengah jalan aplikasi tersebut error sehingga mengganggu pekerjaan. Anda akan ....,Langkah pertama yang paling aman adalah mencegah kerusakan bertambah besar sebelum mengambil tindakan lanjutan.,,27,Langsung menutup aplikasi tersebut agar data tidak semakin hilang.,Memanggil ahli IT dan menanyakan keadaannya.,Menanyakan kepada teman yang pernah mengalami hal serupa.,Terus mengerjakan dan berharap aplikasi kembali normal.,Menyampaikan pada atasan dan meminta nasihat.,1
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Atasan meminta saya membuat laporan hasil kerja melalui aplikasi berbasis internet, sementara saya terbiasa membuat laporan dengan print out hasil ketikan komputer. Saya akan ....","Dalam dunia kerja, kita perlu mengikuti perkembangan alat kerja dan terus belajar agar tidak tertinggal.",,28,Tetap menggunakan cara lama yang saya kuasai.,Mengeluh karena belum terbiasa menggunakan aplikasi.,Belajar membuat laporan hasil kerja melalui aplikasi.,Meminta agar saya tidak dipaksa menggunakan aplikasi.,Malas membuat laporan hasil kerja.,3
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Ketika menghadapi banyak masalah dalam pekerjaan secara bersamaan, sikap saya adalah ....",Masalah akan lebih mudah diatasi jika dipilah dan diselesaikan secara bertahap satu per satu.,,29,Sabar dan berusaha menghadapi masalah tersebut.,"Berdoa, pasrah diri, dan berusaha melupakan masalah.",Berusaha menyelesaikan masalah satu per satu.,Meminta bantuan teman untuk menyelesaikan semua masalah.,Membiarkan masalah berlalu dengan sendirinya.,3
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,Tetangga saya sering membuang sampah di halaman rumah saya. Yang saya lakukan adalah ....,Komunikasi langsung yang baik dan tanpa emosi adalah langkah paling tepat sebelum eskalasi.,,30,Memarahinya saat ia datang membuang sampah.,Melaporkannya kepada ketua RT.,Mendatanginya dan memintanya untuk tidak membuang sampah sembarangan.,Membalas dengan membuang sampah di halamannya.,Memberi tanda peringatan untuk tidak membuang sampah di halaman.,3
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Untuk memenuhi target yang diberikan pada kelompok saya, saya ....","Dalam kerja kelompok, setiap orang perlu memberi kontribusi terbaik agar target bersama tercapai.",,31,Memberikan kontribusi ala kadarnya saja.,Memberikan kontribusi yang maksimal agar target terpenuhi.,Memberikan kontribusi yang minimal karena kegagalan ditanggung bersama.,Bekerja sama dengan baik dengan anggota kelompok lain.,Segera menentukan target pribadi dan tidak memikirkan target anggota lain.,2
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Saat saya dipercaya sebagai petugas dalam promo penjualan produk baru, saya melihat antrean sangat banyak, tidak teratur, dan berebut mendapatkan pelayanan. Maka saya ....",Kita harus mampu membaca situasi dan mengambil tindakan efisien untuk mengatasi masalah langsung di lapangan.,,32,Menertibkan dan berinisiatif membuat nomor antrean.,Memarahi calon pembeli yang tidak mau mengalah.,Memperhatikan saja.,Melapor kepada pimpinan untuk segera bertindak.,Menertibkan dan berinisiatif membuka loket tambahan jika memungkinkan.,1
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,Seseorang datang meminta pelayanan tetapi syarat-syaratnya belum lengkap. Saya akan ....,"Jika persoalan berada di luar kewenangan kita, langkah terbaik adalah berkonsultasi dengan pihak yang berkompeten.",,33,Menolak dan memintanya kembali saat syaratnya sudah lengkap.,"Melihat syarat apa saja yang kurang, barangkali masih bisa diberi pelayanan.",Berkonsultasi dengan atasan atau pihak yang berwenang apakah ada kebijakan yang bisa diberikan.,Langsung memberinya pelayanan karena kasihan.,Langsung memberinya pelayanan karena ia datang dari jauh.,3
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Sebagai seorang jurnalis, saya ditugaskan meliput daerah yang terkena bencana alam gunung meletus. Hal yang saya lakukan ....","Sebelum bertugas di lokasi berbahaya, kesiapan perlengkapan dan kondisi kerja harus dipastikan lebih dahulu.",,34,Menjalankan tugas dan mencari informasi keadaan daerah yang akan saya liput.,Menjalankan tugas dengan catatan semua perlengkapan sudah tersedia.,Memenuhi semua permintaan mereka untuk menggunakan budaya tertentu.,Meminta atasan untuk mengganti tugas saya.,Menolak tugas tersebut dengan sopan.,2
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Guna menghalau efek negatif dari media sosial, apa yang Anda lakukan ....",Cara terbaik adalah menggunakan media sosial secara bijak dan menyortir dampak negatifnya.,,35,Tidak mengubris apabila ada yang berkata kasar di media sosial.,Mempunyai dua akun media sosial.,Membuat media sosial dengan nama samaran.,Menggunakan media sosial untuk hal yang bermanfaat dan menyortir penggunaannya.,Hanya menggunakan media sosial tertentu saja.,4
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Saat Anda berada di bandara dan segera harus naik pesawat, Anda melihat seorang nenek kebingungan. Bagaimana sikap Anda?","Karena Anda harus segera naik pesawat, solusi terbaik adalah segera meminta bantuan petugas yang tepat agar nenek itu tetap tertolong.",,36,Membantu nenek tersebut menyelesaikan masalahnya.,Meminta bantuan satpam atau petugas bandara untuk membantu nenek tersebut.,Segera menuju pesawat dan berharap ada orang lain yang menolongnya.,"Bertanya dulu kepada nenek tersebut, lalu bila sangat penting saya akan membantunya.",Meminta jasa orang lain yang profesional untuk membantu nenek tersebut.,2
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Ada rumor bahwa seorang pegawai telah menggelapkan uang perusahaan, tetapi informasinya belum pasti. Sikap Anda ....",Sikap profesional menuntut kita tidak terburu-buru menyebarkan atau menilai kabar yang belum pasti kebenarannya.,,37,Pihak perusahaan harus memberikan sanksi tegas kepada pelaku.,Menanyakan kebenaran informasi tersebut kepada rekan kerja Anda.,Tidak berkomentar lebih jauh sebelum ada kepastian informasi.,Pelaku sangat di luar batas dan menyebabkan kerugian besar.,Mendatangi rumah pegawai yang dituduh.,3
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Perusahaan tempat Anda bekerja menuntut pegawai dapat menguasai bahasa asing. Agar semua pegawai dapat mengikuti kursus tanpa mengganggu kerja instansi, sebagai panitia Anda akan ....","Walau pada sumber cetak tertulis jawaban lain, tabel skor dan pembahasan jelas mengarahkan pada pelaksanaan bertahap agar pekerjaan tidak terganggu.",,38,Menyelenggarakan kursus di hari libur.,Menyelenggarakan kursus pada jam istirahat.,Menyelenggarakan kursus setelah jam kantor selesai.,Menyelenggarakan kursus secara bertahap agar tidak mengganggu kinerja instansi.,Meminta pendapat rekan-rekan kapan sebaiknya kursus dilaksanakan.,4
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,Anda adalah karyawan dengan dedikasi tinggi terhadap pekerjaan. Suatu hari Anda dihadapkan pada banyak pekerjaan dengan deadline yang berdekatan. Maka Anda akan ....,"Dalam kondisi pekerjaan menumpuk, komunikasi kepada atasan tentang kebutuhan dukungan adalah langkah yang paling profesional dan realistis.",,39,Pulang sesuai jadwal dan meninggalkan pekerjaan untuk esok hari.,Memilih lembur demi tambahan uang lembur.,Menyelesaikan pekerjaan sesuai deadline dengan hasil sebisanya.,Melapor kepada atasan bahwa Anda membutuhkan bantuan karyawan lain untuk menangani banyaknya tugas.,Membawa tugas ke rumah dan mengerjakannya sampai larut malam.,4
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,Terjadi konflik antar dua suku karena salah satu pihak merasa dihina. Salah satu upaya pemerintah yang tepat untuk melerai konflik tersebut adalah ....,"Dalam konflik sosial yang sedang memanas, mediasi adalah langkah paling tepat untuk meredakan dan membuka ruang penyelesaian.",,40,Menumpuk kesadaran toleransi antar suku.,Melakukan mediasi terhadap kedua suku.,Mencegah kedua suku tersebut bertikai.,Menangkap pelaku yang menjadi pemicu perkelahian.,Membiarkan mereka menyelesaikan sendiri konfliknya.,2
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Negara Indonesia memiliki beragam latar belakang. Agar tercipta kerukunan antarumat beragama, semua umat beragama hendaknya ....",Kerukunan antarumat beragama dibangun dengan saling menghormati dan menghargai perbedaan.,,41,Mengganti ideologi negara yang baru.,Lebih serius mempelajari ajaran agamanya.,Menciptakan satu hukum agama untuk semua umat.,Mengedepankan sikap saling menghormati dan menghargai.,Menghayati semua ajaran agama yang ada.,4
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Di masa kampanye terjadi konflik antarpartisipan pendukung karena merasa calon yang didukung paling benar dan menjelekkan pihak lain. Berdasarkan kasus tersebut, konflik terjadi karena ....",Pembahasan sumber mengarah pada konflik yang timbul dari persaingan dan pertentangan antar kelompok untuk mencapai tujuan tertentu.,,42,"Adanya persaingan, pertentangan, dan kontroversi antar pihak.",Norma-norma sosial sudah tidak berfungsi dengan baik.,Sanksi terhadap pelanggaran norma tidak tegas atau lemah.,Adanya pertentangan norma yang membingungkan.,Adanya kesenjangan ekonomi yang telah lama terjadi.,1
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,Anda memiliki sahabat yang berbeda agama dan sedang merayakan hari besar keagamaannya. Sikap yang perlu Anda tunjukkan yaitu ....,Bentuk konkret sikap kebersamaan yang tepat adalah menjaga ketenangan dan menghormati pelaksanaan ibadah tanpa melanggar keyakinan sendiri.,,43,Menghormati keyakinan agama yang dianut sahabat tersebut.,Menjaga ketenangan selama pelaksanaan hari raya agar berjalan lancar.,Ikut merayakan hari besar agamanya karena ia sahabat Anda.,Tidak perlu melakukan apa-apa karena itu bukan agama Anda.,Membiarkannya selama tidak mengganggu Anda.,2
CPNS,TKP 2024,Tes Karakteristik Pribadi CPNS 2024,"Salah satu rekan kantor berubah menjadi tertutup dan mulai menganggap orang yang tidak sejalan dengannya sebagai sesat. Menghadapi perubahan sikap rekan tersebut, apa yang Anda lakukan ....","Karena masih berada dalam ruang lingkup kantor, atasan adalah pihak yang paling tepat untuk mengambil tindakan lebih lanjut.",,44,Tidak melakukan apa-apa karena itu bukan urusan saya.,Membiarkannya dikerjakan oleh kontraktor berpengalaman.,Mengajaknya berdiskusi dan meluruskan jalan pikirannya.,Melaporkan kepada atasan.,Melaporkan kepada polisi.,4
