parent_category,category,category_description,question,explanation,image,order,choice_1,choice_2,choice_3,choice_4,choice_5,correct_answer
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,"Nilai 37,5% dari 0,333 adalah ....","Pada sumber soal, 37,5% diperlakukan sebagai 3/8 dan hasil yang diinginkan adalah 0,125.",,25,"0,008","0,015","0,1","0,125","0,321",4
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,"Untuk dapat pergi ke Makassar seseorang dari Cilacap harus ke Jakarta lebih dahulu. Banyaknya kendaraan dari Cilacap ke Jakarta ada 6, dari Jakarta ke Makassar ada 4, dari Makassar ke Jakarta 4, dan dari Jakarta ke Cilacap 6. Jika saat pulang tidak boleh menggunakan kendaraan yang sama untuk rute yang sama, banyak cara pulang-pergi adalah ....",Pergi: 6 × 4 cara. Pulang: 3 × 5 cara karena kendaraan pada rute yang sama tidak boleh dipakai lagi. Total 6 × 4 × 3 × 5 = 360.,,26,160,200,240,360,400,4
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,"Perbandingan usia orang tua dan anak muda adalah 3 : 1. Jika jumlah umur keduanya 36 tahun, perbandingan sembilan tahun kemudian adalah ....","Jika x : y = 3 : 1 dan x + y = 36, maka umur mereka 27 dan 9. Sembilan tahun kemudian menjadi 36 dan 18, sehingga perbandingannya 2 : 1.",,27,3 : 1,2 : 1,3 : 2,4 : 3,5 : 4,2
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,"Sebuah balok memiliki perbandingan panjang : lebar : tinggi = 4 : 2 : 3. Jika panjang balok 12 cm, luas seluruh permukaan balok adalah ....","Dengan panjang 12 cm, maka lebar 6 cm dan tinggi 9 cm. Luas permukaan = 2(pl + pt + lt) = 2(72 + 108 + 54) = 468 cm².",,28,468 cm²,516 cm²,576 cm²,624 cm²,688 cm²,1
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,Perhatikan gambar pada lampiran soal. Seri gambar lanjutan dari pola gambar berikut adalah ....,"Polanya berotasi 90 derajat searah jarum jam, berpindah ke sisi batas kotak berikutnya, dan setiap tahap menambah satu tanda yang lebih besar.",tiu-2024-q29.png,29,Gambar 1,Gambar 2,Gambar 3,Gambar 4,Gambar 5,5
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,Perhatikan gambar pada lampiran soal. Seri gambar lanjutan dari pola gambar berikut adalah ....,"Dalam tiap langkah, elemen yang ada membesar lalu muncul elemen baru di dalamnya. Pilihan yang sesuai adalah gambar keempat.",tiu-2024-q30.png,30,Gambar 1,Gambar 2,Gambar 3,Gambar 4,Gambar 5,4
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,Perhatikan gambar pada lampiran soal. Carilah gambar yang berbeda dari yang lainnya.,"Semua gambar terbagi menjadi empat bagian. Gambar pertama berbeda karena bagian yang diarsir berada di kanan atas, sedangkan yang lain di kanan bawah.",tiu-2024-q31.png,31,Gambar 1,Gambar 2,Gambar 3,Gambar 4,Gambar 5,1
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,Perhatikan gambar pada lampiran soal. Carilah gambar yang berbeda dari yang lainnya.,"Pada semua pilihan lain, jumlah titik di luar gambar utama hanya lebih satu dibanding jumlah titik di dalamnya. Gambar keempat berbeda karena selisihnya dua.",tiu-2024-q32.png,32,Gambar 1,Gambar 2,Gambar 3,Gambar 4,Gambar 5,4
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,Perhatikan gambar pada lampiran soal. Carilah gambar yang sesuai untuk melengkapi analogi gambar berikut.,Gambar pertama dibagi menjadi beberapa bagian sesuai jumlah sisinya untuk membentuk gambar kedua. Prinsip yang sama membuat jawaban yang tepat adalah gambar keempat.,tiu-2024-q33.png,33,Gambar 1,Gambar 2,Gambar 3,Gambar 4,Gambar 5,4
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,Perhatikan gambar pada lampiran soal. Carilah gambar yang sesuai untuk melengkapi analogi gambar berikut.,"Pada setiap baris, gambar dicerminkan dari kiri ke kanan lalu ada elemen yang bertambah atau berkurang. Dengan pola itu, jawaban yang sesuai adalah gambar kedua.",tiu-2024-q34.png,34,Gambar 1,Gambar 2,Gambar 3,Gambar 4,Gambar 5,2
CPNS,TIU 2024,Tes Intelegensia Umum CPNS 2024,Perhatikan gambar pada lampiran soal. Carilah gambar yang sesuai untuk melengkapi analogi gambar berikut.,"Segitiga pada baris atas dipotong menjadi dua lalu dibalik. Prinsip yang sama diterapkan pada bangun di bawahnya, sehingga pilihan yang tepat adalah gambar pertama.",tiu-2024-q35.png,35,Gambar 1,Gambar 2,Gambar 3,Gambar 4,Gambar 5,1
